run_id,model,augment,seed,split,auc,eer,tpr_at_1pct_fpr,tpr_at_01pct_fpr
probe_phase,probe_phase,none,0,train,0.7949324133189238,0.27827510991777027,0.2536303224218558,0.081959143490032
probe_phase,probe_phase,none,0,val,0.798837547224644,0.30809357744841614,0.37849462365591396,0.37849462365591396
probe_phase,probe_phase,none,0,ood,0.41,0.5466666666666666,0.0,0.0
probe_rolloff,probe_rolloff,none,0,train,0.6342437322276633,0.40583377687224165,0.030273197144966773,0.0
probe_rolloff,probe_rolloff,none,0,val,0.6362975879104912,0.38166230746875907,0.008602150537634409,0.008602150537634409
probe_rolloff,probe_rolloff,none,0,ood,0.6486666666666667,0.355,0.0,0.0
probe_bicoherence,probe_bicoherence,none,0,train,0.8933189527028367,0.18753885094534145,0.075806054639429,0.034211174009352696
probe_bicoherence,probe_bicoherence,none,0,val,0.8159546643417611,0.2393635571054926,0.08279569892473118,0.08279569892473118
probe_bicoherence,probe_bicoherence,none,0,ood,0.9556666666666667,0.12666666666666665,0.35,0.35
probe_chroma_ssm,probe_chroma_ssm,none,0,train,0.6459923481880729,0.407058088401959,0.05414718188530642,0.0
probe_chroma_ssm,probe_chroma_ssm,none,0,val,0.6493315896541703,0.40485324033711134,0.0064516129032258064,0.0064516129032258064
probe_chroma_ssm,probe_chroma_ssm,none,0,ood,0.652,0.38166666666666665,0.2,0.2
probe_denoiser,probe_denoiser,none,0,train,0.7486768606742489,0.3137501445930836,0.0825744523750923,0.010214127492000985
probe_denoiser,probe_denoiser,none,0,val,0.6989973844812554,0.34986922406277243,0.2064516129032258,0.2064516129032258
probe_denoiser,probe_denoiser,none,0,ood,0.782,0.31666666666666665,0.3333333333333333,0.3333333333333333
probe_stereo,probe_stereo,none,0,train,0.726920421372173,0.3267379367927326,0.030642382476002955,0.0
probe_stereo,probe_stereo,none,0,val,0.6910491136297587,0.35040685847137465,0.021505376344086023,0.021505376344086023
probe_stereo,probe_stereo,none,0,ood,0.765,0.30833333333333335,0.15,0.15
probe_mel_stats,probe_mel_stats,none,0,train,0.8984354758094419,0.17718427447064516,0.3743539256706867,0.24009352695052916
probe_mel_stats,probe_mel_stats,none,0,val,0.8580645161290323,0.2309938971229294,0.2817204301075269,0.2817204301075269
