audiobox_axis,axis_label,human_dim,n_songs,spearman_rho,pearson_r,mae,mean_diff_aes_minus_human,p_spearman
CE,Content Enjoyment,aesthetic_quality,571,0.1568661235567277,0.1686217686932558,2.4137886403112194,2.0378269541284455,0.00016753760043173774
CU,Content Usefulness,playlist_likelihood,571,0.006777367758015176,0.05121019580795913,3.8761135699243763,3.7703838959675533,0.871623787025686
PC,Production Complexity,musical_creativity,571,0.13237216555780895,0.11452308914447616,2.1661996858967587,1.5793972330210295,0.0015236420967215515
PQ,Production Quality,production_quality,571,0.09112850805707852,0.14106629977274038,2.7796426940089556,2.5590608643566872,0.029455868531304965
