model,base_model,thinking_alias,n_model,n_human,n_song_overlap,n_song_overlap_nonempty,mean_song_dice,mean_song_jaccard,micro_f1_song_tag,mean_abs_diff_pp,median_abs_diff_pp,max_abs_diff_pp,mean_model_tags_per_trial,mean_human_tags_per_trial,tag_count_delta,nonempty_share_model,nonempty_share_human,js_distance_canonical_distribution
Gemini 3.1 Pro (thinking),Gemini 3.1 Pro,thinking,571,591,571,563,0.23056753784995346,0.18327412670219065,0.3055555555555556,13.580466417683162,9.471613016022593,33.60684642077159,2.416812609457093,1.4230118443316413,0.9938007651254517,0.989492119089317,0.6818950930626058,0.20202479498609374
Gemini 3.1 Pro (non-thinking),Gemini 3.1 Pro,non-thinking,571,591,571,558,0.2193377709506742,0.17374551971326163,0.2938623682579045,12.588055442785324,8.42082492495429,30.10421945054392,2.276707530647986,1.4230118443316413,0.8536956863163447,0.9964973730297724,0.6818950930626058,0.19592033003815199
Gemini 3.1 Flash Lite (thinking),Gemini 3.1 Flash Lite,thinking,571,591,571,561,0.17654698242933536,0.1345513963161022,0.23783117683302527,13.151741979073137,2.292413049211613,59.70141734896773,2.084063047285464,1.4230118443316413,0.6610512029538227,0.9929947460595446,0.6818950930626058,0.3174153410602333
Gemma 4 E4B IT (thinking),Gemma 4 E4B IT,thinking,571,591,571,525,0.16708843537414964,0.12665306122448977,0.22586999343401182,9.075221531772065,9.616518649562467,14.858605883346518,2.859894921190893,1.4230118443316413,1.4368830768592518,0.968476357267951,0.6818950930626058,0.11578844357206394
Gemini 3.1 Flash Lite (non-thinking),Gemini 3.1 Flash Lite,non-thinking,571,591,571,564,0.16670888213441404,0.13185579196217492,0.22939560439560439,13.898922970193428,7.196090807530352,51.99563801446686,1.7145359019264448,1.4230118443316413,0.2915240575948035,1.0,0.6818950930626058,0.360648431990221
Gemma 4 E4B IT (non-thinking),Gemma 4 E4B IT,non-thinking,571,591,571,527,0.16016083852895996,0.12615433270082227,0.22423398328690808,8.089066423807328,8.915993255516932,14.054661131212198,2.2049036777583186,1.4230118443316413,0.7818918334266773,0.9912434325744308,0.6818950930626058,0.14456175401932927
Gemma 4 E2B IT (thinking),Gemma 4 E2B IT,thinking,571,591,571,550,0.15984848484848485,0.11886580086580086,0.2179988820570151,14.251325832219624,13.692545212631979,26.664118224031814,3.2154115586690017,1.4230118443316413,1.7923997143373605,0.9982486865148862,0.6818950930626058,0.1557317309509854
Gemma 4 E2B IT (non-thinking),Gemma 4 E2B IT,non-thinking,571,591,571,566,0.15546861854282348,0.11339811542991755,0.20992584141471762,13.564234089272537,8.771087621977058,37.87252452876036,2.231173380035026,1.4230118443316413,0.8081615357033849,1.0,0.6818950930626058,0.20030854170271375
MOSS Audio 8B (thinking),MOSS Audio 8B,thinking,571,591,571,545,0.0946177370030581,0.06536915683704674,0.1362126245847176,21.760835573098323,14.229792479723585,70.79721804890046,2.3782837127845884,1.4230118443316413,0.9552718684529471,0.9457092819614711,0.6818950930626058,0.4003566724297363
MOSS Audio 4B (thinking),MOSS Audio 4B,thinking,571,591,571,566,0.08579000504795557,0.06098351001177856,0.12416427889207259,28.921761823341562,17.923848978104136,79.37865412595826,2.7933450087565674,1.4230118443316413,1.3703331644249261,0.989492119089317,0.6818950930626058,0.48948268287470376
MOSS Audio 8B (non-thinking),MOSS Audio 8B,non-thinking,571,591,571,514,0.0776625341800439,0.054071706503613114,0.12114285714285715,20.476539017348177,13.020171219785398,56.08618477394425,2.3677758318739053,1.4230118443316413,0.944763987542264,0.8686514886164624,0.6818950930626058,0.40099610708210887
MOSS Audio 4B (non-thinking),MOSS Audio 4B,non-thinking,571,591,571,517,0.07176803424385629,0.050056798992969206,0.11581769436997319,18.546604068486598,9.69267559806911,49.95658757604583,2.4623467600700524,1.4230118443316413,1.039334915738411,0.7845884413309983,0.6818950930626058,0.33269226099924226
