axis,mapped_songeval_axis,human_dim,n_songs,spearman_rho,pearson_r,mae,mean_diff_our_minus_human,p_spearman
Overall_Aesthetics,Musicality,aesthetic_quality,571,0.08804061958481744,0.09984715202686414,2.2348485113835372,0.8479252189141856,0.03544310242964557
Coherence,Coherence,production_quality,571,0.07292658719728733,0.09262948026623657,2.260739316987741,1.0785401926444833,0.08166163399863821
Memorability,Memorability,playlist_likelihood,571,0.07520605453799536,0.08277815701478747,3.0381682136602453,2.351177320490368,0.07254226125141937
Clarity,Clarity,musical_creativity,571,0.029080930127364103,0.05780071201653804,2.270694614711033,1.0157453152364273,0.4879767793928714
Naturalness,Naturalness,emotional_engagement,571,0.09915082115874639,0.10689563482437389,2.2147207530647988,1.0668421190893171,0.017791966551143117
