human_dim,songeval_axis,audiobox_axis,n_songs,rho_songeval_vs_human,rho_audiobox_vs_human,rho_songeval_vs_audiobox,pearson_songeval_vs_audiobox,mae_songeval_vs_audiobox,mean_diff_songeval_minus_audiobox,p_songeval_vs_audiobox
aesthetic_quality,Musicality,CE,571,0.13894876287431154,0.1568661235567277,0.520211833550428,0.6027254737791428,3.6511509471231918,-3.6511509471231918,6.550845957908943e-41
production_quality,Coherence,PQ,571,0.10351337447031222,0.09112850805707852,0.4345278637360622,0.4898213277175155,4.119102020223587,-4.119102020223587,1.0657694647269892e-27
playlist_likelihood,Memorability,CU,571,0.11335026455225272,0.006777367758015176,0.32685362321302264,0.42214912291018175,3.9704534231129136,-3.9704534231129136,1.106628160064628e-15
musical_creativity,Clarity,PC,571,0.03135209198277592,0.13237216555780895,0.35138600734208025,0.48450843473310434,2.8127982194389434,-2.811490227767089,4.8979864028550676e-18
