songeval_axis,axis_label,human_dim,n_songs,spearman_rho,pearson_r,mae,mean_diff_songeval_minus_human,p_spearman
Musicality,Overall Musicality,aesthetic_quality,571,0.13894876287431154,0.15690434862524655,2.2485145359019265,-1.613323992994746,0.0008711095865021669
Coherence,Overall Coherence,production_quality,571,0.10351337447031222,0.1352044538617688,2.2306422066549914,-1.5600411558669003,0.013333112957510837
Memorability,Memorability,playlist_likelihood,571,0.11335026455225272,0.11766354900388643,1.9282050788091065,-0.20006952714535903,0.006700355588139208
Clarity,Clarity of Song Structure,musical_creativity,571,0.03135209198277592,0.062339875517058344,2.0276961471103325,-1.2320929947460595,0.4546294513385529
Naturalness,Naturalness of Vocal Breathing/Phrasing,emotional_engagement,571,0.12220553530172995,0.13231375891108244,2.0176772329246933,-1.2139546409807356,0.003447380747543581
