popularity_target,human_dim,n_songs,spearman_rho,pearson_r,p_spearman,p_pearson
log1p_play_count,aesthetic_quality,571,0.007557852529341892,0.020559055592618992,0.8569906240548265,0.6239595727417233
log1p_play_count,playlist_likelihood,571,0.029910888439656814,0.03580689399917885,0.47564022686267404,0.39309039037306015
log1p_play_count,musical_creativity,571,0.04385317674141457,0.04595888553826708,0.2955124501239955,0.2729089017635297
log1p_play_count,production_quality,571,0.03201946023221902,0.022826459800729042,0.44507967278772426,0.586215956957249
log1p_play_count,emotional_engagement,571,0.03330013616260932,0.03936290836657767,0.42707696949204355,0.347780401693933
log1p_upvote_count,aesthetic_quality,571,0.0077701173903015775,0.00950552356428108,0.8530191564724754,0.8206977561029045
log1p_upvote_count,playlist_likelihood,571,0.030496112202376212,0.039795321946817945,0.46704503247610274,0.3425059040267221
log1p_upvote_count,musical_creativity,571,0.04268181568119497,0.033215072199633655,0.3086129028546503,0.4282594492762523
log1p_upvote_count,production_quality,571,0.031856850629663674,0.028828438420121255,0.4473959833354672,0.49176370001411324
log1p_upvote_count,emotional_engagement,571,0.0342022911180452,0.033731740504856826,0.414653316650125,0.42110651999042187
