human_dim,axis,mapped_songeval_axis,audiobox_axis,n_songs,rho_our_vs_human,rho_songeval_vs_human,rho_audiobox_vs_human,rho_our_vs_songeval,mae_our_vs_songeval,rho_our_vs_audiobox,mae_our_vs_audiobox
aesthetic_quality,Overall_Aesthetics,Musicality,CE,571,0.08804061958481744,0.13894876287431154,0.1568661235567277,0.6865216157220964,2.478163485113835,0.4498147455706181,1.5765723563025584
production_quality,Coherence,Coherence,PQ,571,0.07292658719728733,0.10351337447031222,0.09112850805707852,0.6920324259917287,2.639686339754816,0.3883216457164899,1.6722026306686801
playlist_likelihood,Memorability,Memorability,CU,571,0.07520605453799536,0.11335026455225272,0.006777367758015176,0.6903552322812061,2.5875577057793344,0.3679618862073187,1.8484968458746862
musical_creativity,Clarity,Clarity,PC,571,0.029080930127364103,0.03135209198277592,0.13237216555780895,0.6844712777992681,2.278818957968476,0.2972180475166177,1.403062154490643
emotional_engagement,Naturalness,Naturalness,,571,0.09915082115874639,0.12220553530172995,,0.6909990473967529,2.286034851138354,,
