mood_tag,human_prevalence,human_count,human_n
Wonder,0.06260575296108291,37,591
Transcendence,0.05922165820642978,35,591
Tenderness,0.06260575296108291,37,591
Nostalgia,0.14213197969543148,84,591
Peacefulness,0.11505922165820642,68,591
Power,0.18274111675126903,108,591
Joyful activation,0.1455160744500846,86,591
Tension,0.09475465313028765,56,591
Sadness,0.05414551607445008,32,591
